base_cell,hex_id,subdomain,description
0,
1,aa7q,americas,canada arctic greenland
2,
3,
4,
5,
6,adpq,americas,Alaska part of Eastern Russia
7,aa,americas,North Quebec Ontario
8,
9,ae7q,americas,BC Yukon Alberta NWT
10,
11,
12,
13,ag7q,americas,Newfoundland
14,ahpq,americas,Pacific Ocean
15,
16,
17,ai7q,americas,Alaska Aleutians
18,
19,aj7q,americas,Winnipeg Chicago Denver
20,akpq,americas,Vancouver Seattle California
21,ak7q,americas,Toronto New York Washington DC
22,
23,
24,
25,
26,
27,an7q,americas,Pacific Ocean
28,
29,ao7q,americas,Atlantic Ocean
30,
31,
32,
33,
34,arpq,americas,Miami Cuba Gulf of Mexico
35,ar7q,americas,Hawaii Oahu
36,aspq,americas,Central Mexico US Southwest
37,a3pq,americas,Mexico Oaxaca El Salvador
38,atpq,americas,Haiti Dominican Republic Jamaica
39,
40,aupq,americas,Pacific Ocean
41,
42,
43,
44,
45,
46,axpq,americas,Hawaii Big Island Maui
47,au,americas,Guyana Suriname French Guiana
48,
49,
50,
51,az7q,americas,Costa Rica Colombia Venezuela
52,
53,
54,
55,ay,americas,Pacific Ocean
56,
57,
58,
59,
60,a6pq,americas,Pacific Ocean
61,
62,
63,
64,bapq,americas,Brazil Bahia
65,
66,
67,
68,
69,bc7q,americas,Brazil Amazon
70,
71,ba,americas,Peru Equador
72,bepq,americas,Pacific Ocean
73,be7q,americas,Pacific Ocean
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,bkpq,americas,Sao Paulo Rio
85,
86,
87,
88,bmpq,americas,Pacific Ocean
89,bm7q,americas,Northern Chile Argentina
90,
91,bn7q,americas,Pacific Ocean
92,
93,
94,
95,
96,
97,bq7q,americas,Buenos Aires
98,
99,
100,
101,
102,
103,bq,americas,Southern Chile Argentina
104,
105,bu7q,americas,Pacific Ocean
106,
107,
108,
109,
110,
111,bu,americas,Tierra Del Fuego Falklands
112,
113,
114,
115,
116,b2pq,americas,Antarctica
117,
118,
119,by,americas,Antarctica
120,
121,b47q,americas,Antarctica
122,
